Tiempo_Audio,Tiempo_CSV,Azimut_Estimado,Elevacion_Estimada,Azimut_CSV,Elevacion_CSV,Dif_Azimut,Dif_Elevacion,Distancia_Metros
115.0,0m 2.5s,0,32,-6.0,-5.0,6.0,37.0,7.400907151062357
115.1,0m 2.6s,-90,14,-6.001314214082527,-5.0,83.99868578591747,19.0,7.399188041163492
115.2,0m 2.7s,-30,28,-6.002829649828669,-5.0,23.99717035017133,33.0,7.398987844786132
115.3,0m 2.8s,-28,28,-6.00249923727165,-5.0,21.99750076272835,33.0,7.3990352607363015
115.4,0m 2.9s,-30,28,-6.005179939906782,-5.0,23.994820060093218,33.0,7.399253789720372
115.5,0m 3.0s,0,32,-5.997771226278928,-5.0,5.997771226278928,37.0,7.400297172734875
115.6,0m 3.1s,-30,28,-5.997236510039954,-5.0,24.002763489960046,33.0,7.400607682240012
115.7,0m 3.2s,0,32,-5.9993725599629215,-5.0,5.9993725599629215,37.0,7.399554379049006
115.8,0m 3.3s,12,0,-5.999062511039966,-5.0,17.999062511039966,5.0,7.399491018435367
115.9,0m 3.4s,14,2,-5.994951611051022,-5.0,19.99495161105102,7.0,7.400016476734154
116.0,0m 3.5s,10,2,-5.994497772287303,-5.0,15.994497772287303,7.0,7.400308882090427
116.1,0m 3.6s,60,10,-5.986733999578746,-5.0,65.98673399957875,15.0,7.399237571301252
116.2,0m 3.7s,18,0,-5.987697138366087,-5.0,23.987697138366087,5.0,7.399940068020584
116.3,0m 3.8s,60,10,-5.99675378436109,-5.0,65.99675378436109,15.0,7.401128747283654
116.4,0m 3.9s,28,0,-5.998059032799347,-5.0,33.99805903279935,5.0,7.401054789478408
116.5,0m 4.0s,64,2,-5.999497911265621,-5.0,69.99949791126562,7.0,7.4010137272199215
116.6,0m 4.1s,-10,6,-6.003173403343595,-5.0,3.9968265966564047,11.0,7.401516739653119
116.7,0m 4.2s,-8,4,-5.985691850854494,-5.0,2.0143081491455064,9.0,7.40133572013061
116.8,0m 4.3s,-18,0,-5.983023917281855,-5.0,12.016976082718145,5.0,7.401426239879786
116.9,0m 4.4s,-6,0,-5.978827141270443,-5.0,0.021172858729556765,5.0,7.40040077736117
117.0,0m 4.5s,-4,0,-5.97566699965239,-5.0,1.9756669996523897,5.0,7.399928154844774
117.1,0m 4.6s,-4,0,-5.9727259449980465,-5.0,1.9727259449980465,5.0,7.395551813010448
117.2,0m 4.7s,-4,0,-5.962276703455245,-5.0,1.9622767034552453,5.0,7.390437228915357
117.3,0m 4.8s,-6,0,-5.989275537726087,-5.0,0.010724462273913105,5.0,7.387150241745129
117.4,0m 4.9s,-6,0,-6.024549996328204,-5.0,0.024549996328204315,5.0,7.3856721271489105
117.5,0m 5.0s,-6,0,-6.065646618399427,-5.0,0.06564661839942687,5.0,7.380479790927031
117.6,0m 5.1s,-6,0,-6.078617499279602,-2.6349598140844694,0.07861749927960204,2.6349598140844694,7.386222847248415
117.7,0m 5.2s,-6,0,-6.051687632228834,-2.6349649230022916,0.05168763222883399,2.6349649230022916,7.386238793807322
117.8,0m 5.3s,-6,2,-6.0037631007303105,-0.2763468646365048,0.003763100730310498,2.276346864636505,7.402555614396113
117.9,0m 5.4s,-8,4,-5.959945844047638,2.065412083534903,2.0400541559523617,1.9345879164650972,7.434000669264521
118.0,0m 5.5s,-6,10,-5.899590553887151,4.381938794071571,0.10040944611284885,5.618061205928429,7.47906820420032
118.1,0m 5.6s,-6,10,-5.758108822583836,8.956760220553726,0.24189117741616428,1.0432397794462744,7.582417514549502
118.2,0m 5.7s,-4,14,-5.699232009798891,11.15896940713753,1.6992320097988909,2.84103059286247,7.6664546060978305
118.3,0m 5.8s,-2,24,-5.63861245471108,15.429863336846868,3.6386124547110796,8.570136663153132,7.858809034997044
118.4,0m 5.9s,-12,16,-5.550782849682776,17.46431535695819,6.449217150317224,1.4643153569581884,7.976803359529232
118.5,0m 6.0s,144,14,-5.448814556721686,19.448021584637768,149.4488145567217,5.448021584637768,8.101142302102206
118.6,0m 6.1s,154,4,-5.363609067904832,21.361039747840294,159.3636090679048,17.361039747840294,8.23735535581725
118.7,0m 6.2s,-2,28,-5.48140361369434,23.27794686041778,3.48140361369434,4.7220531395822185,8.363917754665811
118.8,0m 6.3s,144,10,-5.439170261154118,23.266597985160818,149.43917026115412,13.266597985160818,8.366998690255857
118.9,0m 6.4s,32,14,-5.542726167412582,23.285088491865817,37.54272616741258,9.285088491865817,8.361980311487315
119.0,0m 6.5s,-10,18,-5.514450440660994,25.087747424316028,4.485549559339006,7.087747424316028,8.511831475073247
