sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY.chargeLevel,BATTERY.currentPV [V],BATTERY.currentCapacity [mAh],BATTERY.fullCapacity [mAh],BATTERY.voltage [V],BATTERY.isCellVoltageEstimated,BATTERY.cellVoltage1 [V],BATTERY.cellVoltage2 [V],BATTERY.cellVoltage3 [V],BATTERY.cellVoltage4 [V],BATTERY.maxCellVoltageDeviation,BATTERY.isCellVoltageDeviationHigh,BATTERY.isVoltageLow,BATTERY.current [A],BATTERY.temperature [F],BATTERY.minTemperature [F],BATTERY.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
10/11/2024,4:49:12.63 AM,0m 0.0s,0.0,-33.7548332342612,150.738137762576,0,0,,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,P-GPS (Brake),Other,,32,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,Aircraft in Altitude Zone (500 m). Fly with caution).; Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059).; Flight mode changed to P-GPS (Brake).,
10/11/2024,4:49:12.75 AM,0m 0.1s,0.1,-33.7548332340609,150.738137761981,0,0,,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,Flight mode changed to Starting Motors.,
10/11/2024,4:49:12.86 AM,0m 0.2s,0.2,-33.7548332233939,150.738137763727,0,0,,103,0,0,0,0,0,0,0,0,0,5.2,0.1,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,False,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:12.96 AM,0m 0.3s,0.3,-33.7548332188244,150.738137760545,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:13.06 AM,0m 0.4s,0.4,-33.7548332454011,150.738137772632,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:13.16 AM,0m 0.5s,0.5,-33.7548332418543,150.738137772451,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,,,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.613,1809,3991,14.613,True,3.653,3.653,3.653,3.653,,False,False,1.044,102.6,102.5,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:13.27 AM,0m 0.6s,0.6,-33.7548332450429,150.73813777412,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0.1,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.614,1808,3991,14.614,False,3.654,3.655,3.653,3.652,0.003,False,False,1.251,102.4,102.3,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:13.37 AM,0m 0.7s,0.7,-33.7548332491679,150.738137774722,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.6,113.6,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.614,1808,3991,14.614,False,3.654,3.655,3.653,3.652,0.003,False,False,1.251,102.4,102.3,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
10/11/2024,4:49:13.47 AM,0m 0.8s,0.8,-33.7548332240423,150.73813775623,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.1,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.5,113.5,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.614,1808,3991,14.614,False,3.654,3.655,3.653,3.652,0.003,False,False,1.251,102.4,102.3,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,-33.7548363904087,150.738129265704,2.8,,328.0,True,1,1,False,False,False,False,,True,False,False,,196.8,,16.4,41,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,Data Recorder File Index is 41.; Set Return to Home (RTH) altitude to 60 m (197 ft).; Set maximum flight altitude to 100 m (328 ft).,
10/11/2024,4:49:13.57 AM,0m 0.9s,0.9,-33.7548332132199,150.73813774414,0,0,0.3,103,0,0,0,0,0,0,0,0,0,5.2,0,126.2,126.2,,Starting Motors,Other,,32,5,True,,Air 3,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,113.5,113.5,False,False,False,False,False,False,,True,Normal,100,100,364,364,364,1684,C,False,False,False,False,False,0,False,False,False,False,46,14.614,1808,3991,14.614,False,3.654,3.655,3.653,3.652,0.003,False,False,1.251,102.4,102.3,102.5,,,,,,,,,Idle,,,,,,6,Go Home,True,True,True,False,False,False,False,False,False,False,False,False,-33.7548363904087,150.738129265704,2.8,,328.0,True,1,1,False,False,False,False,,True,False,False,,196.8,,16.4,41,,,,,Calm,False,False,,1.12.0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,162.9,1.7,242.7,25.499102,13.42164,0,0,DJI Air 3,1581F6N8C23AR003,6K5FL8K211X7G9,6UZBLAV02102UE,6NVPLASDA003CY,DJI Fly,,1.12.0,1FE95EF4-9D83-3910-FAC3-6F8B3161D691,1581F6N8C23AR0035EE6,,,,,,,,,
