article,"How many microphones are used in the array? (Ex: 16, or 8, 16 in case of two evaluated arrays)",Mics,What SSL algorithms are evaluated?,"Is a neural network used for localization, filtering or neither?",What is the sampling rate?,samp,What ego-noise mitigation strategies are used?,Other noise mitigation strategy:,What are the signal sources?,sound,Does the work address single or multiple SSL?,What is the distance to the sound source in the reported experiments? (in meters),What is(are) the reported SNR in the experiments?,Where are the microphones places in relation to the UAV?,What are the evaluated array configurations?,configuration,Shortest mic distance,Longest mic distance,Angle Detection,Error in angle,What is the hovering height of the drone in the experiments?,Drone model(s),"Drone category (micro: 250 g or less · very small: more than 250 g, but not more than 2 kg · small: more than 2 kg, but not more than 25 kg)","Drone type (multirotor, airplane, VTOL, helicopter)",Where is the initial signal filtering performed?,Where is the DOA algorithm executed? ,Strong aspects of the paper (bullet points),Limitations (including future work) of the paper (bullet points),Dataset availability,"Additional comments, if needed",Bibtex citation ,cite string,Reader
Acoustic Source Localization From Multirotor UAVs,8,8,"DU-NORT (proposed)
MUSIC
SRP-PHAT",no,48 KHz,48,"Distancing of the microphones from the drone rotors, Wind-damping mufflers",,"A person shouting, Whistle, White noise or similar","Human speech, White noise",Single,15 to 35m,0 to -22 dB,Below,2D Radial,2D Radial,,,,,15 to 35m,DJI Matrice 100 quadcopter (2.3 kg),small,multirotor,Simulation,Offline,- Noise of bulldozers and digging machines is used to test robustness to interference,"- Load hanging on ropes below the drone can affect its maneuverability and SSL precision
- UAV in stable hovering or moving with a constant speed (almost stationary noise spectrum)
- Signal positioned",Not mentioned,"- 8-microphone UCA with a diameter of 196 mm
- The array is mounted on a hanging circular plate, 1m below the drone, and is directed toward the ground
- Works well up to -19 dB of signal to propeller noise ratio (SPNR)","@article{salvati2019acoustic,
  title={Acoustic source localization from multirotor UAVs},
  author={Salvati, Daniele and Drioli, Carlo and Ferrin, Giovanni and Foresti, Gian Luca},
  journal={IEEE Transactions on Industrial Electronics},
  volume={67},
  number={10},
  pages={8618--8628},
  year={2019},
  publisher={IEEE}
}",\cite{salvati2019acoustic},Sergio
Tracking a moving sound source from a multi-rotor drone,8,8,SRP-PHAT,no,not informed,,Wind-damping mufflers,time-frequency filtering,A person shouting,Human speech,Single,2 to 6 m,-10 to -25 dB,Above,2D Radial,2D Radial,,,,,1.8 m,3DR IRIS,very small,multirotor,Simulation,Simulation,"- array (20cm diameter) is placed 15cm above (avoiding downwards wind) and slightly in front (small noiseless sector) of the drone
- the drone generates ego-noise with time-varying power","- Fixed height of 1.8 m
- Maximum distance to target is 6 m
- Limited to a single sound source",http://www.eecs.qmul.ac.uk/∼andrea/sst.html (error when opening),"Follow-up work from ""Acoustic Sensing From a Multi-Rotor Drone""","@inproceedings{wang2018tracking,
  title={Tracking a moving sound source from a multi-rotor drone},
  author={Wang, Lin and Sanchez-Matilla, Ricardo and Cavallaro, Andrea},
  booktitle={2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  pages={2511--2516},
  year={2018},
  organization={IEEE}
}",\cite{wang2018tracking},Sergio
DREGON: Dataset and Methods for UAV-Embedded Sound Source Localization,8,8,"GCC-PHAT
WF + GCC-PHAT
SEVD-MUSIC
GEVD-MUSIC",no,44.1 kHz,44.1,Spectral filtering,,"A person shouting, White noise or similar","Human speech, White noise",Single,2.4,-25 to 30 dB,Below,Other,Cubic. Dregon,,,,,Up to 3m (unclear),MK-Quadro from MikroKopter,very small,multirotor,Simulation,Offline,- 3D position and IMU readings are included,"- Recordings in indoor rooms (largest was 12x12x3.5m), however with low reverberation (under 150 ms)
- The noise components for the multichannel Wiener filter (MWF) uses a noise-only signal of sufficient length",dregon.inria.fr,,"@inproceedings{strauss2018dregon,
  title={DREGON: Dataset and methods for UAV-embedded sound source localization},
  author={Strauss, Martin and Mordel, Pol and Miguet, Victor and Deleforge, Antoine},
  booktitle={2018 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  pages={1--8},
  year={2018},
  organization={IEEE}
}",\cite{strauss2018dregon},Sergio
Acoustic Sensing From a Multi-Rotor Drone,8,8,"wHisK (proposed)
GEVD-MUSIC
SRP-PHAT",no,8 KHz,8,"Distancing of the microphones from the drone rotors, Wind-damping mufflers",time-frequency filtering,A person shouting,Human speech,Single,3,−30 dB to 5 dB,Above,2D Radial,2D Radial,,,,,MAV fixed on a tripod at a height of 1.8 m,3DR IRIS quadcopter,very small,multirotor,Simulation,Simulation,- The speed of rotors is varied during recordings,"- Low hovering height of 1.8m (mics are positioned above the drone), while the source is 3m away at 1.3m height
- The ego-noise and the target sound are recorded separately and then added together at a varying input SNR
- Limited to a single sound source
- Natural noises and wind not included in the experiments
- Computational cost not addressed",Not mentioned,"8-microphone circular array with diameter d = 0.2 m. The array is placed on the top side of the MAV body (at a distance of 0.15 m) in order to avoid the self-generated wind blowing downwards from the propellers. The array is also displaced closer to the front of the drone, which improves the noiseless sector, while keeping the array in within the collision protection area.","@article{wang2018acoustic,
  title={Acoustic sensing from a multi-rotor drone},
  author={Wang, Lin and Cavallaro, Andrea},
  journal={IEEE Sensors Journal},
  volume={18},
  number={11},
  pages={4570--4582},
  year={2018},
  publisher={IEEE}
}",\cite{wang2018acoustic},Sergio
On-Board Relative Bearing Estimation for Teams of Drones Using Sound,4,4,GCC-PHAT,no,40 kHz,40,"Spectral filtering, Wind-damping mufflers",,"Other, Other drones",Drones,Both,"3m (passive, inside a room)
up to 60m (chirping, outdoors), 150m (engines off)",Not reported,Around,Other,Pyramidal,,,,,"Unclear
On the ground inside and some outside experiments",Unclear - pocket-size (31 grams) and small (440 grams) drones with 4 rotors,"micro, very small",multirotor,Locally,Real-time locally,"- very light triangular (3.5 grams) and tetrahedral (21 grams) arrays
- Atmel AVR32 microcontroller used for onboard computation
- Localization of up to 3 targets in a room (6x3.5x3)",- outdoor test only with chirping sound produced by other drones,Not mentioned,"Simple approach, stands out for using local processing on AVR32","@article{basiri2016board,
  title={On-board relative bearing estimation for teams of drones using sound},
  author={Basiri, Meysam and Schill, Felix and Lima, Pedro and Floreano, Dario},
  journal={IEEE Robotics and Automation letters},
  volume={1},
  number={2},
  pages={820--827},
  year={2016},
  publisher={IEEE}
}",\cite{basiri2016board},Sergio
Alternating Drive-and-Glide Flight Navigation of a Kiteplane for Sound Source Position Estimation,8,8, iGEVD-MUSIC,no,unstated - experiment was conducted on a simulation.,,Other,ALTDGF - Alternating Flight drive to glide. Controlled rotor activity such as flying at low speeds.,A person shouting,Human speech,Single,200 meters.,"-10dB (Ego: 90 db, human: 80db)",Below,2D Radial,2D Radial,,,,,Up to 30 meters.,"Kiteplane, self built",small,glider plane,Simulation,Simulation,Use of kiteplane. High range reported(under simulatons),All reported data is in Simulation such as the high 200m range( as opposed to offline experiments reporting 5 meters),N/A,Our paper could provide non simulation data values and get far more realistic results.,"@inproceedings{kumon2021alternating,
  title={Alternating drive-and-glide flight navigation of a kiteplane for sound source position estimation},
  author={Kumon, Makoto and Okuno, Hiroshi G and Tajima, Shuichi},
  booktitle={2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
  pages={2114--2120},
  year={2021},
  organization={IEEE}
}",\cite{kumon2021alternating},Abishek
Direction of Arrival Estimation through Noise Supression: A Novel Approach using GSC Beamforming and Room Acoustic Simulation,8,8,"GCC-PATH
GCC-NON-LIN",no,44.1 KHz,44.1,Other,"Generalized Sidelobe Canceller (GSC)
Wiener filter",A person shouting,Human speech,Multiple,Not given,-20 to -15 dB,Below,Other,Cubic. Dregon,,,Azimuth and Elevation,< 10 degrees,Not given,Simulated,Simulated,Simulated,Simulation,,"- The novelty of the paper lies in applying general sidelobe cancellation on a multi-channel audio and to regain the phase information using pyroomacoustics considering the microphone array structure simulation.
- Multi-channel BSS Locate software aims at localizing audio sources in 3D audio scene based on recorded signals using an array of N microphones. Localization is achieved under far field assumption based on a choice between several local angular spectrum methods. Available local angular spectrum methods are those used in BSS Locate Toolbox: GCC-PHAT, GCC NON LIN, MVDR, MVDRW, DS, DSW and DNM.",The method requires previous knowledge of the noise to be used for the wiener filter.,Dregon,,"@inproceedings{qayyum2019direction,
  title={Direction of Arrival Estimation through Noise Supression: A Novel Approach using GSC Beamforming and Room Acoustic Simulation},
  author={Qayyum, Alif Bin Abdul Abdul and Anika, Adrita and Miah, Md Messal Monem and Rahman, Md Mushfiqur and Hasan, KM Naimul and Islam, Md Tariqul and Shouborno, Sheikh Asif Imran and Shadiq, Md Farhan and Haque, Mohammad Ariful},
  booktitle={2019 IEEE International Conference on Signal Processing, Information, Communication \& Systems (SPICSCON)},
  pages={104--108},
  year={2019},
  organization={IEEE}
}",\cite{qayyum2019direction},Jahir Rodríguez
Audio-Processing-Based Human Detection at Disaster Sites With Unmanned Aerial Vehicle,4 (PlayStation Eye),4,MUSIC (HARKTOOL5 Implemented),no,Not defined,,Spectral filtering,None,A person shouting,Human speech,Single,1 to 5m,Not presented,Above,2D Linear,2D Linear,,,,,3,Custom built,very small,multirotor,On a remote server,Real-time on a remote server,"- Experiments are focused on the accuracy of human detection and sound-source localization and the processing speed
- Experiments combines voice and camera for human detection.","- The host computer receives an audio file recorded for 10s and takes 20 s to process it; as such, the detection system completes one cycle every 30 s.
- Recognition rate drops to 10% at 5m distance",Not defined,,"@article{yamazaki2020audio,
  title={Audio-Processing-Based human detection at disaster sites with unmanned aerial vehicle},
  author={Yamazaki, Yuki and Premachandra, Chinthaka and Perea, Chamika Janith},
  journal={IEEE Access},
  volume={8},
  pages={101398--101405},
  year={2020},
  publisher={IEEE}
}",\cite{yamazaki2020audio},Jahir Rodríguez
Conformal Cylindrical Array Sound Source Localization at the Presence of Shadowed Elements,6 to 12,6,"SR-MUSIC-RS (proposed),C-MUSIC-GS,C-MUSIC-CS,S-MUSIC-RS,GRNN-RS(Page17)",no,16kHz(page9),16,Other,Removal of 'shadow effect'(Page7),Other,Other,Single,5m,-10 to 30 DB range(page 7),Below,Other,Cylindrical,,,,,The drone is not stated to be floating,Simulation,Simulation,Simulation,Simulation,Simulation,Completely eliminates shadow effect in one specific configuration.,"Very little non-simulation experiment conducted.
Ignores real life effects such as doppler spread.",Not provided,Real life application of the paper to see the % effects of using the configuration and mathematics can be compared.,"@article{li2023conformal,
  title={Conformal cylindrical array sound source localization at the presence of shadowed elements},
  author={Li, Jiaheng and Tong, Feng and Zhou, Yuehai and Yang, Yi and Hu, Zhiqiang},
  journal={IEEE Internet of Things Journal},
  volume={10},
  number={20},
  pages={17694--17704},
  year={2023},
  publisher={IEEE}
}",\cite{li2023conformal},Abishek Soti
Bearings-only aerial shooter localization using a microphone array mounted on a drone,5,5,GCC-PHAT,no,not specified,,Other,Not specified,Gun shots,Gun shots,Single,180m (inferred from pictures),-7 dB,not specified,Other,,,,Azimuth and Elevation,5.7 degrees,"Not speficied, just presents as the same height as the shooter",PARROT AR.Drone 2.0.,very small,multirotor,Simulation,Simulation,Use of total least squares (TLS) for improving localization accuracy,do not explicitly describe specific ego-noise mitigation,not mentioned,,"@inproceedings{fernandes2017bearings,
  title={Bearings-only aerial shooter localization using a microphone array mounted on a drone},
  author={Fernandes, Rigel P and Apolin{\'a}rio, Jos{\'e} A and Ramos, Ant{\'o}nio LL},
  booktitle={2017 IEEE 8th Latin American Symposium on Circuits \& Systems (LASCAS)},
  pages={1--4},
  year={2017},
  organization={IEEE}
}",\cite{fernandes2017bearings},Jahir Rodriguez
